# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0006979	BP	e	response to oxidative stress	15/466	17/802	0.011499487157127465	3	15	1.0	1.0	1.0	1.0	acnA, barA, bsmA, clpA, eamA, ftnA, msrA, nfuA, putA, qorA, sodA, sseA, sufA, tktA, wrbA
GO:0010556	BP	e	regulation of macromolecule biosynthetic process	47/466	65/802	0.017826485389559502	5	47	1.0	1.0	1.0	1.0	arcA, birA, cspA, csrA, diaA, dnaA, dpiA, evgA, fhlA, fliA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, nusA, pepA, pspA, putA, raiA, rapA, rbbA, rcsA, rplA, rpsA, rseA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:2000113	BP	e	negative regulation of cellular macromolecule biosynthetic process	16/466	19/802	0.019187132645730666	7	16	1.0	1.0	1.0	1.0	arcA, cspA, csrA, dnaA, hipA, lexA, lrhA, marA, mprA, putA, raiA, rplA, rpsA, seqA, slyA, stpA
GO:2000112	BP	e	regulation of cellular macromolecule biosynthetic process	44/466	61/802	0.021787216273690478	6	44	1.0	1.0	1.0	1.0	arcA, birA, cspA, csrA, diaA, dnaA, dpiA, evgA, fhlA, fliA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, pspA, putA, raiA, rapA, rbbA, rcsA, rplA, rpsA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:0051171	BP	e	regulation of nitrogen compound metabolic process	50/466	70/802	0.021948726462711978	4	50	1.0	1.0	1.0	1.0	arcA, birA, cheA, cspA, csrA, diaA, dpiA, evgA, fhlA, fliA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, mzrA, nusA, pepA, pspA, putA, raiA, rapA, rarA, rbbA, rcsA, rplA, rpsA, rraA, rseA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:0031326	BP	e	regulation of cellular biosynthetic process	47/466	66/802	0.026664843614694945	5	47	1.0	1.0	1.0	1.0	arcA, birA, cspA, csrA, diaA, dnaA, dpiA, evgA, fhlA, fliA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, nusA, pepA, pspA, putA, raiA, rapA, rbbA, rcsA, rplA, rpsA, rseA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:0031324	BP	e	negative regulation of cellular metabolic process	19/466	24/802	0.036267284133303816	5	19	1.0	1.0	1.0	1.0	arcA, cheA, cspA, csrA, dnaA, hipA, lexA, lrhA, marA, mprA, putA, raiA, rplA, rpsA, rraA, rseA, seqA, slyA, stpA
GO:0009889	BP	e	regulation of biosynthetic process	47/466	67/802	0.03886660625401462	4	47	1.0	1.0	1.0	1.0	arcA, birA, cspA, csrA, diaA, dnaA, dpiA, evgA, fhlA, fliA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, nusA, pepA, pspA, putA, raiA, rapA, rbbA, rcsA, rplA, rpsA, rseA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:0010558	BP	e	negative regulation of macromolecule biosynthetic process	17/466	21/802	0.041701420851029285	6	17	1.0	1.0	1.0	1.0	arcA, cspA, csrA, dnaA, hipA, lexA, lrhA, marA, mprA, putA, raiA, rplA, rpsA, rseA, seqA, slyA, stpA
GO:0031327	BP	e	negative regulation of cellular biosynthetic process	17/466	21/802	0.041701420851029285	6	17	1.0	1.0	1.0	1.0	arcA, cspA, csrA, dnaA, hipA, lexA, lrhA, marA, mprA, putA, raiA, rplA, rpsA, rseA, seqA, slyA, stpA
GO:0009890	BP	e	negative regulation of biosynthetic process	17/466	21/802	0.041701420851029285	5	17	1.0	1.0	1.0	1.0	arcA, cspA, csrA, dnaA, hipA, lexA, lrhA, marA, mprA, putA, raiA, rplA, rpsA, rseA, seqA, slyA, stpA
