# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0000041	BP	e	transition metal ion transport	15/336	59/2550	0.009790043040363726	6	15	1.0	1.0	1.0	0.8706854782933503	acrB, btuB, ccmB, dppB, efeB, exbB, fecB, feoB, fepB, fhuB, ftnB, nikB, tonB, zitB, znuB
GO:0098660	BP	e	inorganic ion transmembrane transport	23/336	104/2550	0.010877881039495232	6	23	1.0	1.0	1.0	0.9121851128767641	amtB, atpB, btuB, cadB, clcB, codB, crcB, cyoB, dtpB, feoB, frvB, kdpB, kefB, melB, nhaB, nikB, nuoB, pitB, pstB, setB, tonB, zitB, znuB
GO:0006826	BP	e	iron ion transport	12/336	44/2550	0.01103576873511467	7	12	1.0	1.0	1.0	0.9121851128767641	acrB, btuB, ccmB, dppB, efeB, exbB, fecB, feoB, fepB, fhuB, ftnB, tonB
GO:0009987	BP	e	cellular process	285/336	2037/2550	0.015800140386534205	1	285	1.0	1.0	1.0	1.0	aaeB, abgB, accB, aceB, acnB, acrB, agaB, aidB, aldB, alkB, allB, amiB, amtB, ansB, appB, araB, arcB, argB, arnB, aroB, ascB, asnB, astB, atpB, bamB, bcsB, betB, bioB, btuB, cadB, caiB, carB, ccmB, chbB, cheB, chpB, clcB, clpB, cmoB, cmtB, codB, cpdB, cpsB, crcB, creB, csgB, cybB, cydB, cyoB, cysB, dacB, dapB, dcuB, ddlB, ddpB, deoB, dinB, dkgB, dmsB, dnaB, dpiB, dppB, dsbB, dtpB, dusB, eamB, efeB, elbB, emrB, entB, eptB, eutB, exbB, fabB, fadB, fbaB, feaB, fecB, feoB, fepB, fhuB, fixB, fklB, fkpB, fldB, flgB, flhB, folB, frdB, frlB, frmB, fruB, frvB, frwB, fryB, ftnB, ftsB, fumB, gatB, ghrB, glcB, glgB, gloB, glpB, gltB, gmhB, greB, grxB, gshB, gsiB, guaB, gyrB, hcaB, hdeB, hemB, hipB, hisB, holB, hscB, hupB, hyaB, hybB, hyfB, ihfB, ilvB, infB, ispB, kdpB, kdsB, kefB, lamB, lepB, leuB, ligB, lipB, lolB, lptB, lpxB, macB, maeB, mdlB, mdtB, melB, menB, metB, mglB, mgrB, mhpB, miaB, mlaB, mltB, moaB, mobB, modB, moeB, motB, mrcB, mrdB, mreB, msrB, mukB, murB, nadB, nagB, napB, nfrB, nfsB, nhaB, nikB, nirB, nrdB, nrfB, nuoB, nusB, opgB, oppB, otsB, paaB, pabB, panB, pcnB, pdxB, pepB, pfkB, pflB, pgaB, pgpB, phoB, pitB, plsB, pncB, pntB, polB, potB, poxB, ppdB, pphB, ppiB, pqiB, prfB, prkB, prmB, proB, prpB, pstB, purB, puuB, pyrB, qseB, rbsB, rcsB, rdgB, recB, rhaB, rhlB, ribB, rihB, rlmB, rluB, rnhB, rplB, rpmB, rpoB, rpsB, rraB, rsmB, rssB, rstB, rsxB, rutB, ruvB, sapB, sbcB, scpB, sdaB, sdhB, secB, selB, serB, setB, sfsB, smpB, sodB, speB, srlB, srmB, ssuB, sucB, sufB, suhB, talB, tatB, tauB, tdcB, tesB, thiB, thrB, tktB, tnaB, tolB, tomB, tonB, topB, treB, trpB, truB, trxB, tufB, tyrB, ubiB, ugpB, uhpB, uidB, ulaB, uvrB, uxaB, uxuB, wcaB, xapB, xdhB, xseB, xylB, zapB, zitB, znuB
GO:0072488	BP	e	ammonium transmembrane transport	2/336	2/2550	0.017317056285065077	8	2	1.0	1.0	1.0	1.0	amtB, cadB
GO:0098659	BP	e	inorganic cation import across plasma membrane	2/336	2/2550	0.017317056285065077	8	2	1.0	1.0	1.0	1.0	feoB, znuB
GO:0015696	BP	e	ammonium transport	2/336	2/2550	0.017317056285065077	6	2	1.0	1.0	1.0	1.0	amtB, cadB
GO:0099587	BP	e	inorganic ion import across plasma membrane	2/336	2/2550	0.017317056285065077	7	2	1.0	1.0	1.0	1.0	feoB, znuB
GO:0033212	BP	e	iron import into cell	6/336	17/2550	0.01732701682315743	11	6	1.0	1.0	1.0	1.0	efeB, exbB, fecB, feoB, fepB, fhuB
GO:0006801	BP	e	superoxide metabolic process	3/336	5/2550	0.01848023655600794	4	3	1.0	1.0	1.0	1.0	cybB, sodB, trxB
GO:0019430	BP	e	removal of superoxide radicals	3/336	5/2550	0.01848023655600794	5	3	1.0	1.0	1.0	1.0	cybB, sodB, trxB
GO:0006879	BP	e	cellular iron ion homeostasis	7/336	22/2550	0.0188413082261174	10	7	1.0	1.0	1.0	1.0	efeB, exbB, fecB, feoB, fepB, fhuB, ftnB
GO:0006875	BP	e	cellular metal ion homeostasis	8/336	27/2550	0.019150849973907983	8	8	1.0	1.0	1.0	1.0	efeB, exbB, fecB, feoB, fepB, fhuB, ftnB, nhaB
GO:0051180	BP	e	vitamin transport	5/336	13/2550	0.02012018978055561	4	5	1.0	1.0	1.0	1.0	btuB, exbB, thiB, tonB, ulaB
GO:0042938	BP	e	dipeptide transport	6/336	18/2550	0.02318364805741695	8	6	1.0	1.0	1.0	1.0	ddpB, dppB, dtpB, gsiB, nikB, sapB
GO:0006811	BP	e	ion transport	50/336	285/2550	0.025421469135865994	4	50	1.0	1.0	1.0	1.0	aaeB, acrB, amtB, arsB, atpB, btuB, cadB, ccmB, clcB, codB, crcB, cyoB, dcuB, dppB, dtpB, eamB, efeB, emrB, exbB, fecB, feoB, fepB, fhuB, frvB, ftnB, gsiB, kdpB, kefB, lamB, mdtB, melB, modB, nhaB, nikB, nuoB, phoB, pitB, potB, pstB, rhtB, sapB, setB, ssuB, tauB, tonB, ugpB, uidB, ulaB, zitB, znuB
GO:0046916	BP	e	cellular transition metal ion homeostasis	7/336	24/2550	0.030315625219749207	9	7	1.0	1.0	1.0	1.0	efeB, exbB, fecB, feoB, fepB, fhuB, ftnB
GO:0044242	BP	e	cellular lipid catabolic process	7/336	24/2550	0.030315625219749207	5	7	1.0	1.0	1.0	1.0	acnB, fadB, fixB, pgpB, prpB, scpB, tesB
GO:0015889	BP	e	cobalamin transport	3/336	6/2550	0.033387232517801575	5	3	1.0	1.0	1.0	1.0	btuB, exbB, tonB
GO:0071103	BP	e	DNA conformation change	7/336	25/2550	0.037509217600829724	6	7	1.0	1.0	1.0	1.0	dnaB, gyrB, hupB, mukB, recB, ruvB, topB
GO:0009636	BP	e	response to toxic substance	5/336	15/2550	0.03759163330434082	3	5	1.0	1.0	1.0	1.0	acrB, ecnB, emrB, gloB, tehB
GO:0098662	BP	e	inorganic cation transmembrane transport	19/336	91/2550	0.038362976291858614	7	19	1.0	1.0	1.0	1.0	amtB, atpB, btuB, cadB, codB, cyoB, dtpB, feoB, frvB, kdpB, kefB, melB, nhaB, nikB, nuoB, setB, tonB, zitB, znuB
GO:1990748	BP	e	cellular detoxification	6/336	20/2550	0.03855902664272194	2	6	1.0	1.0	1.0	1.0	crcB, cybB, efeB, frmB, sodB, trxB
GO:0019439	BP	e	aromatic compound catabolic process	19/336	93/2550	0.041853711194917306	4	19	1.0	1.0	1.0	1.0	abgB, allB, chpB, cpdB, deoB, feaB, hcaB, mhpB, nfsB, paaB, rdgB, rhlB, rihB, rnhB, rraB, sbcB, tnaB, xdhB, xseB
GO:0015755	BP	e	fructose transmembrane transport	4/336	11/2550	0.04581970288027475	9	4	1.0	1.0	1.0	1.0	fruB, frvB, frwB, fryB
GO:0045471	BP	e	response to ethanol	2/336	3/2550	0.0474112184632891	5	2	1.0	1.0	1.0	1.0	aldB, uspB
GO:0019594	BP	e	mannitol metabolic process	2/336	3/2550	0.0474112184632891	8	2	1.0	1.0	1.0	1.0	uxaB, uxuB
GO:0070988	BP	e	demethylation	2/336	3/2550	0.0474112184632891	2	2	1.0	1.0	1.0	1.0	alkB, cheB
GO:0097305	BP	e	response to alcohol	2/336	3/2550	0.0474112184632891	4	2	1.0	1.0	1.0	1.0	aldB, uspB
GO:0009062	BP	e	fatty acid catabolic process	6/336	21/2550	0.048208975336668944	8	6	1.0	1.0	1.0	1.0	acnB, fadB, fixB, prpB, scpB, tesB
GO:2000113	BP	p	negative regulation of cellular macromolecule biosynthetic process	3/336	107/2550	0.00035504187807809337	7	3	1.0	1.0	1.0	0.27733628177495345	aidB, hipB, rcsB
GO:0051171	BP	p	regulation of nitrogen compound metabolic process	20/336	288/2550	0.0005730487078432635	4	20	1.0	1.0	1.0	0.27733628177495345	acnB, aidB, arcB, chpB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rraB, rsmB, rssB, selB, sspB
GO:0010558	BP	p	negative regulation of macromolecule biosynthetic process	4/336	114/2550	0.0005938337036435375	6	4	1.0	1.0	1.0	0.27733628177495345	aidB, hipB, rcsB, rssB
GO:0009890	BP	p	negative regulation of biosynthetic process	4/336	115/2550	0.0005940861422437907	5	4	1.0	1.0	1.0	0.27733628177495345	aidB, hipB, rcsB, rssB
GO:0031327	BP	p	negative regulation of cellular biosynthetic process	4/336	115/2550	0.0005940861422437907	6	4	1.0	1.0	1.0	0.27733628177495345	aidB, hipB, rcsB, rssB
GO:0010556	BP	p	regulation of macromolecule biosynthetic process	18/336	266/2550	0.0007351767047413758	5	18	1.0	1.0	1.0	0.27733628177495345	acnB, aidB, arcB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rseB, rsmB, rssB, selB
GO:2000112	BP	p	regulation of cellular macromolecule biosynthetic process	17/336	255/2550	0.0008294787805287185	6	17	1.0	1.0	1.0	0.27733628177495345	acnB, aidB, arcB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rsmB, rssB, selB
GO:0031324	BP	p	negative regulation of cellular metabolic process	5/336	123/2550	0.0009180375091719813	5	5	1.0	1.0	1.0	0.27733628177495345	aidB, hipB, rcsB, rraB, rssB
GO:2001141	BP	p	regulation of RNA biosynthetic process	15/336	232/2550	0.001027592488204387	7	15	1.0	1.0	1.0	0.27733628177495345	aidB, arcB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rsmB, rssB
GO:0019219	BP	p	regulation of nucleobase-containing compound metabolic process	17/336	251/2550	0.0010929095251201633	5	17	1.0	1.0	1.0	0.27733628177495345	aidB, arcB, chpB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rraB, rsmB, rssB
