# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0071103	BP	e	DNA conformation change	6/90	25/2550	0.00016857988976947191	6	6	0.48770162110308224	0.4754090670598138	0.48770162110308224	0.45567053498550003	dps, gyrA, gyrB, hupA, hupB, topA
GO:0051276	BP	e	chromosome organization	6/90	30/2550	0.0004900889563211258	5	6	1.0	1.0	1.0	0.45567053498550003	dps, gyrA, gyrB, hupA, hupB, topA
GO:0006265	BP	e	DNA topological change	3/90	6/2550	0.0007875398115891808	7	3	1.0	1.0	1.0	0.45567053498550003	gyrA, gyrB, topA
GO:0006323	BP	e	DNA packaging	3/90	6/2550	0.0007875398115891808	7	3	1.0	1.0	1.0	0.45567053498550003	dps, hupA, hupB
GO:0030261	BP	e	chromosome condensation	3/90	6/2550	0.0007875398115891808	8	3	1.0	1.0	1.0	0.45567053498550003	dps, hupA, hupB
GO:0044237	BP	e	cellular metabolic process	67/90	1475/2550	0.001044603984385853	2	67	1.0	1.0	1.0	0.5036732211380455	abgR, ackA, acnB, acs, ansB, carA, codB, crp, cspA, ddlA, deoC, dld, dmsA, dusB, fadB, fixA, fklB, fumB, gabD, gadA, gdhA, glnA, glpA, glpT, gltX, greB, gyrA, gyrB, hupA, hupB, hyaA, ispB, katE, kduI, ligB, lpd, msrA, mtlA, mtlD, nac, nanA, narG, ndh, nirB, nrdA, nrfA, ogt, patA, pdxA, pflB, prfC, ptsG, pyrD, queA, queD, rimM, rlmF, rplM, rsmF, serA, sra, topA, trmA, tufA, tufB, ugd, wecH
GO:0008152	BP	e	metabolic process	70/90	1589/2550	0.0018193005124572754	1	70	1.0	1.0	1.0	0.635282683623631	abgR, ackA, acnB, acs, adhE, ansB, carA, codB, crp, cspA, dcp, ddlA, deoC, dld, dmsA, dusB, fadB, fixA, fklB, fumB, gabD, gadA, gdhA, glnA, glpA, glpT, gltX, greB, gyrA, gyrB, hupA, hupB, hyaA, ispB, katE, kduI, ligB, lpd, msrA, mtlA, mtlD, nac, nanA, narG, ndh, nirB, nrdA, nrfA, ogt, patA, pdxA, pflB, prfC, ptsG, pyrD, queA, queD, rimM, rlmF, rplM, rsmF, serA, sra, topA, trmA, tufA, tufB, ugd, wecH, xylF
GO:0009987	BP	e	cellular process	83/90	2037/2550	0.0018534328816854902	1	83	1.0	1.0	1.0	0.635282683623631	abgR, ackA, acnB, acs, aldB, ansB, carA, cbpA, codB, crp, cspA, cycA, ddlA, deoC, dld, dmsA, dps, dusB, eamA, fadB, fixA, fklB, fumB, gabD, gadA, gdhA, glnA, glnQ, glpA, glpT, gltX, greB, gyrA, gyrB, hupA, hupB, hyaA, ispB, ivy, katE, kduI, ligB, lpd, malE, mdtG, mglA, msrA, mtlA, mtlD, nac, nanA, narG, ndh, nirB, nrdA, nrfA, ogt, osmY, patA, pdxA, pflB, prfC, proP, ptsG, pyrD, queA, queD, rhtA, rimM, rlmF, rplM, rsmF, sdiA, serA, sra, topA, trg, trmA, tufA, tufB, ugd, wecH, xylF
GO:0009061	BP	e	anaerobic respiration	7/90	52/2550	0.0019763374188083924	6	7	1.0	1.0	1.0	0.635282683623631	dld, dmsA, glpA, hyaA, narG, ndh, nirB
GO:0034654	BP	e	nucleobase-containing compound biosynthetic process	17/90	230/2550	0.0023721694284383004	5	17	1.0	1.0	1.0	0.6862686156472003	abgR, ackA, acs, carA, crp, cspA, deoC, greB, gyrA, gyrB, hupA, hupB, nrdA, pyrD, queA, queD, ugd
